,Ticker,Industry,Industry_Fullname
0,AU,AGRO,Agro & Food Industry
1,JCKH,AGRO,Agro & Food Industry
2,KASET,AGRO,Agro & Food Industry
3,MUD,AGRO,Agro & Food Industry
4,NTSC,AGRO,Agro & Food Industry
5,TACC,AGRO,Agro & Food Industry
6,TMILL,AGRO,Agro & Food Industry
7,XO,AGRO,Agro & Food Industry
0,ACAP,FINCIAL,Financials
1,AF,FINCIAL,Financials
2,AIRA,FINCIAL,Financials
3,ASN,FINCIAL,Financials
4,BROOK,FINCIAL,Financials
5,GCAP,FINCIAL,Financials
6,KCC,FINCIAL,Financials
7,LIT,FINCIAL,Financials
8,MITSIB,FINCIAL,Financials
9,SGF,FINCIAL,Financials
10,TQR,FINCIAL,Financials
0,ADB,INDUS,Industrial
1,BM,INDUS,Industrial
2,CHO,INDUS,Industrial
3,CHOW,INDUS,Industrial
4,CIG,INDUS,Industrial
5,COLOR,INDUS,Industrial
6,CPR,INDUS,Industrial
7,FPI,INDUS,Industrial
8,GTB,INDUS,Industrial
9,KCM,INDUS,Industrial
10,KJL,INDUS,Industrial
11,KUMWEL,INDUS,Industrial
12,KWM,INDUS,Industrial
13,MBAX,INDUS,Industrial
14,MGT,INDUS,Industrial
15,MTW,INDUS,Industrial
16,NDR,INDUS,Industrial
17,PACO,INDUS,Industrial
18,PDG,INDUS,Industrial
19,PIMO,INDUS,Industrial
20,PPM,INDUS,Industrial
21,PRAPAT,INDUS,Industrial
22,RWI,INDUS,Industrial
23,SAF,INDUS,Industrial
24,SALEE,INDUS,Industrial
25,SANKO,INDUS,Industrial
26,SELIC,INDUS,Industrial
27,SFT,INDUS,Industrial
28,STP,INDUS,Industrial
29,SWC,INDUS,Industrial
30,TMC,INDUS,Industrial
31,TMI,INDUS,Industrial
32,TMW,INDUS,Industrial
33,TPLAS,INDUS,Industrial
34,TRV,INDUS,Industrial
35,UBIS,INDUS,Industrial
36,UEC,INDUS,Industrial
37,UKEM,INDUS,Industrial
38,UREKA,INDUS,Industrial
39,YUASA,INDUS,Industrial
40,ZIGA,INDUS,Industrial
0,24CS,PROPCON,Property & Construction
1,A5,PROPCON,Property & Construction
2,ALL,PROPCON,Property & Construction
3,ARIN,PROPCON,Property & Construction
4,ARROW,PROPCON,Property & Construction
5,BC,PROPCON,Property & Construction
6,BLESS,PROPCON,Property & Construction
7,BSM,PROPCON,Property & Construction
8,BTW,PROPCON,Property & Construction
9,CAZ,PROPCON,Property & Construction
10,CHEWA,PROPCON,Property & Construction
11,CPANEL,PROPCON,Property & Construction
12,CRD,PROPCON,Property & Construction
13,DHOUSE,PROPCON,Property & Construction
14,DIMET,PROPCON,Property & Construction
15,DPAINT,PROPCON,Property & Construction
16,FLOYD,PROPCON,Property & Construction
17,HYDRO,PROPCON,Property & Construction
18,IND,PROPCON,Property & Construction
19,JAK,PROPCON,Property & Construction
20,K,PROPCON,Property & Construction
21,KUN,PROPCON,Property & Construction
22,META,PROPCON,Property & Construction
23,PPS,PROPCON,Property & Construction
24,PRI,PROPCON,Property & Construction
25,PROS,PROPCON,Property & Construction
26,PROUD,PROPCON,Property & Construction
27,PSG,PROPCON,Property & Construction
28,SENAJ,PROPCON,Property & Construction
29,SK,PROPCON,Property & Construction
30,SMART,PROPCON,Property & Construction
31,SSS,PROPCON,Property & Construction
32,STC,PROPCON,Property & Construction
33,SVR,PROPCON,Property & Construction
34,TAPAC,PROPCON,Property & Construction
35,THANA,PROPCON,Property & Construction
36,TIGER,PROPCON,Property & Construction
37,TITLE,PROPCON,Property & Construction
38,YONG,PROPCON,Property & Construction
0,ABM,RESOURC,Resources
1,GTV,RESOURC,Resources
2,PSTC,RESOURC,Resources
3,PTC,RESOURC,Resources
4,SAAM,RESOURC,Resources
5,SEAOIL,RESOURC,Resources
6,SR,RESOURC,Resources
7,STOWER,RESOURC,Resources
8,TAKUNI,RESOURC,Resources
9,TPCH,RESOURC,Resources
10,TRT,RESOURC,Resources
11,UMS,RESOURC,Resources
0,ADD,SERVICE,Services
1,AKP,SERVICE,Services
2,AMA,SERVICE,Services
3,AMARC,SERVICE,Services
4,ARIP,SERVICE,Services
5,ATP30,SERVICE,Services
6,AUCT,SERVICE,Services
7,BIS,SERVICE,Services
8,BOL,SERVICE,Services
9,CEYE,SERVICE,Services
10,CHIC,SERVICE,Services
11,CMO,SERVICE,Services
12,D,SERVICE,Services
13,DEXON,SERVICE,Services
14,DV8,SERVICE,Services
15,ETE,SERVICE,Services
16,FSMART,SERVICE,Services
17,FVC,SERVICE,Services
18,GLORY,SERVICE,Services
19,GSC,SERVICE,Services
20,HARN,SERVICE,Services
21,HEMP,SERVICE,Services
22,HL,SERVICE,Services
23,IMH,SERVICE,Services
24,KGEN,SERVICE,Services
25,KK,SERVICE,Services
26,KLINIQ,SERVICE,Services
27,KOOL,SERVICE,Services
28,KTMS,SERVICE,Services
29,LDC,SERVICE,Services
30,LEO,SERVICE,Services
31,MASTER,SERVICE,Services
32,MEB,SERVICE,Services
33,MORE,SERVICE,Services
34,MVP,SERVICE,Services
35,NCL,SERVICE,Services
36,NEWS,SERVICE,Services
37,NINE,SERVICE,Services
38,OTO,SERVICE,Services
39,PHOL,SERVICE,Services
40,PICO,SERVICE,Services
41,QLT,SERVICE,Services
42,RP,SERVICE,Services
43,SE,SERVICE,Services
44,SLM,SERVICE,Services
45,SONIC,SERVICE,Services
