,Date,symbol,open,high,low,close,Advances,Unchanged,Declines,Total,pct_Adv,pct_Unc,pct_Dec,MA20,MA60,MA200,pct_MA20,pct_MA60,pct_MA200,RSI>70,RSI<30,pct_RSI>70,pct_RSI<30,MACD>0,MACD>Signal,pct_MACD>0,pct_MACD>Signal,New_High_20d,New_High_60d,New_High_250d,New_Low_20d,New_Low_60d,New_Low_250d,pct_New_High_20d,pct_New_High_60d,pct_New_High_250d,pct_New_Low_20d,pct_New_Low_60d,pct_New_Low_250d
0,2020-07-01,SET:SET100,1969.63,1977.1899,1945.3101,1976.29,33,6,9,50,66.0,12.0,18.0,16,32,10,32.0,64.0,20.0,0,1,0.0,2.0,17,6,34.0,12.0,1,1,1,3,0,0,2.0,2.0,2.0,6.0,0.0,0.0
1,2020-07-02,SET:SET100,1989.75,2022.67,1983.73,2018.61,44,4,0,50,88.0,8.0,0.0,22,36,13,44.0,72.0,26.0,1,0,2.0,0.0,21,7,42.0,14.0,2,2,1,0,0,0,4.0,4.0,2.0,0.0,0.0,0.0
2,2020-07-03,SET:SET100,2023.1,2027.58,2010.45,2013.48,10,8,30,50,20.0,16.0,60.0,23,33,15,46.0,66.0,30.0,1,0,2.0,0.0,23,11,46.0,22.0,4,3,1,0,0,0,8.0,6.0,2.0,0.0,0.0,0.0
3,2020-07-07,SET:SET100,2040.23,2044.9301,2012.26,2012.33,16,7,25,50,32.0,14.0,50.0,22,30,14,44.0,60.0,28.0,2,0,4.0,0.0,23,17,46.0,34.0,4,3,1,0,0,0,8.0,6.0,2.0,0.0,0.0,0.0
4,2020-07-08,SET:SET100,2009.0699,2021.72,1990.36,1992.36,9,9,30,50,18.0,18.0,60.0,16,27,13,32.0,54.0,26.0,1,0,2.0,0.0,24,17,48.0,34.0,2,2,1,1,0,0,4.0,4.0,2.0,2.0,0.0,0.0
5,2020-07-09,SET:SET100,2000.28,2006.54,1983.91,1996.13,26,6,16,50,52.0,12.0,32.0,20,29,15,40.0,58.0,30.0,1,0,2.0,0.0,23,16,46.0,32.0,1,1,1,1,0,0,2.0,2.0,2.0,2.0,0.0,0.0
6,2020-07-10,SET:SET100,1981.91,1990.84,1960.35,1967.5601,5,4,39,50,10.0,8.0,78.0,16,22,13,32.0,44.0,26.0,1,0,2.0,0.0,21,16,42.0,32.0,1,1,0,6,0,0,2.0,2.0,0.0,12.0,0.0,0.0
7,2020-07-13,SET:SET100,1986.13,1988.76,1948.65,1953.5,5,15,28,50,10.0,30.0,56.0,10,20,11,20.0,40.0,22.0,1,0,2.0,0.0,19,15,38.0,30.0,3,1,0,9,2,0,6.0,2.0,0.0,18.0,4.0,0.0
8,2020-07-14,SET:SET100,1936.66,1955.21,1926.21,1952.1899,14,7,27,50,28.0,14.0,54.0,8,16,10,16.0,32.0,20.0,1,0,2.0,0.0,17,11,34.0,22.0,0,0,0,18,4,0,0.0,0.0,0.0,36.0,8.0,0.0
9,2020-07-15,SET:SET100,1970.38,1981.2,1959.65,1975.39,35,6,7,50,70.0,12.0,14.0,16,21,13,32.0,42.0,26.0,2,0,4.0,0.0,17,12,34.0,24.0,3,2,2,1,0,0,6.0,4.0,4.0,2.0,0.0,0.0
10,2020-07-16,SET:SET100,1974.46,1979.76,1955.25,1962.9,9,8,31,50,18.0,16.0,62.0,12,19,13,24.0,38.0,26.0,1,0,2.0,0.0,17,13,34.0,26.0,2,0,0,1,0,0,4.0,0.0,0.0,2.0,0.0,0.0
11,2020-07-17,SET:SET100,1971.05,1985.27,1964.9301,1982.12,30,12,6,50,60.0,24.0,12.0,24,22,14,48.0,44.0,28.0,1,0,2.0,0.0,18,15,36.0,30.0,2,1,1,0,0,0,4.0,2.0,2.0,0.0,0.0,0.0
12,2020-07-20,SET:SET100,1979.63,1992.55,1968.9399,1979.01,18,8,22,50,36.0,16.0,44.0,20,20,14,40.0,40.0,28.0,1,0,2.0,0.0,18,18,36.0,36.0,3,2,0,2,0,0,6.0,4.0,0.0,4.0,0.0,0.0
13,2020-07-21,SET:SET100,1994.14,2013.85,1992.1899,2009.29,37,4,7,50,74.0,8.0,14.0,35,28,18,70.0,56.0,36.0,1,0,2.0,0.0,19,25,38.0,50.0,5,4,2,0,0,0,10.0,8.0,4.0,0.0,0.0,0.0
14,2020-07-22,SET:SET100,2015.03,2017.4,1975.35,1975.74,3,1,44,50,6.0,2.0,88.0,20,21,14,40.0,42.0,28.0,1,1,2.0,2.0,17,20,34.0,40.0,5,2,2,3,1,0,10.0,4.0,4.0,6.0,2.0,0.0
15,2020-07-23,SET:SET100,1975.3199,1986.14,1960.76,1978.87,31,5,12,50,62.0,10.0,24.0,24,21,13,48.0,42.0,26.0,1,0,2.0,0.0,17,25,34.0,50.0,1,1,1,3,2,0,2.0,2.0,2.0,6.0,4.0,0.0
16,2020-07-24,SET:SET100,1959.04,1962.4,1940.01,1947.28,2,3,43,50,4.0,6.0,86.0,13,16,12,26.0,32.0,24.0,1,0,2.0,0.0,15,16,30.0,32.0,0,0,0,7,4,0,0.0,0.0,0.0,14.0,8.0,0.0
17,2020-07-29,SET:SET100,1953.62,1960.26,1936.3199,1938.38,15,7,26,50,30.0,14.0,52.0,11,15,12,22.0,30.0,24.0,2,0,4.0,0.0,15,11,30.0,22.0,2,2,1,9,3,0,4.0,4.0,2.0,18.0,6.0,0.0
18,2020-07-30,SET:SET100,1947.55,1951.03,1895.13,1899.86,3,3,42,50,6.0,6.0,84.0,6,13,9,12.0,26.0,18.0,1,2,2.0,4.0,13,8,26.0,16.0,2,1,0,23,10,0,4.0,2.0,0.0,46.0,20.0,0.0
19,2020-07-31,SET:SET100,1897.63,1922.39,1879.1899,1922.1801,34,5,9,50,68.0,10.0,18.0,8,15,11,16.0,30.0,22.0,2,2,4.0,4.0,13,10,26.0,20.0,1,1,1,19,12,0,2.0,2.0,2.0,38.0,24.0,0.0
20,2020-08-03,SET:SET100,1914.29,1915.66,1891.23,1903.83,7,5,36,50,14.0,10.0,72.0,6,13,9,12.0,26.0,18.0,2,3,4.0,6.0,12,9,24.0,18.0,2,2,2,11,7,0,4.0,4.0,4.0,22.0,14.0,0.0
21,2020-08-04,SET:SET100,1920.4,1933.01,1916.47,1922.08,34,5,9,50,68.0,10.0,18.0,9,15,11,18.0,30.0,22.0,2,1,4.0,2.0,13,9,26.0,18.0,2,1,1,1,0,0,4.0,2.0,2.0,2.0,0.0,0.0
22,2020-08-05,SET:SET100,1928.9301,1939.6899,1913.8,1932.47,22,13,13,50,44.0,26.0,26.0,15,16,12,30.0,32.0,24.0,2,2,4.0,4.0,14,10,28.0,20.0,3,1,1,1,1,0,6.0,2.0,2.0,2.0,2.0,0.0
