,Date,Open,High,Low,Close,NH20,NH60,NH200,NH250,NL20,NL60,NL200,NL250,diffNHNL20d,RatioNHNL200d,Threshold_line,diffShortNHNL,diffLongNHNL,diffShortLongNHNL,diffShortLongNHNL_MA120,Advanced,Unchanged,Declined,Total,AD Line
0,2020-11-02,1196.6400146484375,1202.550048828125,1191.43994140625,1202.1600341796875,18,7,3,3,37,24,3,3,-2.7982326951399115,0.7309399207889921,0.8663004625349212,-17,0,-17,1.6083333333333334,256,214,175,645,-36.777594700084734
1,2020-11-03,1210.06005859375,1222.780029296875,1209.9000244140625,1221.3299560546875,33,14,4,4,9,5,1,1,3.5346097201767304,0.7282476130966843,0.8630661696273889,9,3,6,1.6,337,185,120,642,-35.69747125035009
2,2020-11-04,1223.6700439453125,1231.050048828125,1214.489990234375,1222.43994140625,28,12,5,5,12,5,1,1,2.3564064801178204,0.7254698353189065,0.8596466915346713,7,4,3,1.575,182,231,221,634,-36.10747545554299
3,2020-11-05,1234.6099853515625,1266.5799560546875,1232.719970703125,1264.3199462890625,49,17,8,8,8,4,1,1,6.0382916053019144,0.7236179834670547,0.8560574603555341,13,7,6,1.6083333333333334,382,161,98,641,-34.783433756897104
4,2020-11-06,1265.8399658203125,1270.219970703125,1251.0799560546875,1260.0799560546875,41,15,7,6,6,2,1,1,5.154639175257732,0.7245649531640245,0.8524419244625921,13,6,7,1.5666666666666667,164,201,280,645,-35.541231504150666
5,2020-11-09,1281.4100341796875,1293.9000244140625,1277.52001953125,1285.8800048828125,72,23,10,6,11,5,2,2,8.98379970544919,0.7238705087195799,0.8487106478289093,18,8,10,1.5333333333333334,317,186,140,643,-34.568336821170476
6,2020-11-10,1330.1400146484375,1346.719970703125,1313.0400390625,1341.239990234375,127,38,7,4,32,9,2,2,13.991163475699558,0.7201668050158763,0.8448620872446093,29,5,24,1.625,283,166,203,652,-33.87620828096449
7,2020-11-11,1353.6500244140625,1356.8299560546875,1331.3900146484375,1345.3399658203125,99,35,7,4,17,4,2,2,12.076583210603829,0.7164631013121725,0.8408900698701859,31,5,26,1.725,257,205,192,654,-33.31448416666769
8,2020-11-12,1340.4300537109375,1341.5699462890625,1327.1700439453125,1336.31005859375,46,21,8,6,11,7,5,4,5.154639175257732,0.7174602523093234,0.8370581284691716,14,3,11,1.65,198,203,243,644,-33.78415238498155
9,2020-11-13,1330.489990234375,1352.510009765625,1327.72998046875,1346.469970703125,61,24,7,5,10,5,0,0,7.511045655375552,0.7202380300871012,0.8332632241051946,19,7,12,1.5416666666666667,276,202,163,641,-33.03806241299063
