,Ticker,Industry,Sector,Industry_Name,Sector_Name
0,EE,AGRO,AGRI,Agro & Food Industry,Agribusiness
1,GFPT,AGRO,AGRI,Agro & Food Industry,Agribusiness
2,LEE,AGRO,AGRI,Agro & Food Industry,Agribusiness
3,MAX,AGRO,AGRI,Agro & Food Industry,Agribusiness
4,NER,AGRO,AGRI,Agro & Food Industry,Agribusiness
5,PPPM,AGRO,AGRI,Agro & Food Industry,Agribusiness
6,STA,AGRO,AGRI,Agro & Food Industry,Agribusiness
7,TEGH,AGRO,AGRI,Agro & Food Industry,Agribusiness
8,TFM,AGRO,AGRI,Agro & Food Industry,Agribusiness
9,TRUBB,AGRO,AGRI,Agro & Food Industry,Agribusiness
10,UPOIC,AGRO,AGRI,Agro & Food Industry,Agribusiness
11,UVAN,AGRO,AGRI,Agro & Food Industry,Agribusiness
12,VPO,AGRO,AGRI,Agro & Food Industry,Agribusiness
13,AAI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
14,APURE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
15,ASIAN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
16,BR,AGRO,FOOD,Agro & Food Industry,Food & Beverage
17,BRR,AGRO,FOOD,Agro & Food Industry,Food & Beverage
18,BTG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
19,CBG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
20,CFRESH,AGRO,FOOD,Agro & Food Industry,Food & Beverage
21,CH,AGRO,FOOD,Agro & Food Industry,Food & Beverage
22,CHOTI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
23,CM,AGRO,FOOD,Agro & Food Industry,Food & Beverage
24,COCOCO,AGRO,FOOD,Agro & Food Industry,Food & Beverage
25,CPF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
26,CPI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
27,F&D,AGRO,FOOD,Agro & Food Industry,Food & Beverage
28,GLOCON,AGRO,FOOD,Agro & Food Industry,Food & Beverage
29,HTC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
30,ICHI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
31,ITC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
32,JDF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
33,KBS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
34,KCG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
35,KSL,AGRO,FOOD,Agro & Food Industry,Food & Beverage
36,KTIS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
37,LST,AGRO,FOOD,Agro & Food Industry,Food & Beverage
38,M,AGRO,FOOD,Agro & Food Industry,Food & Beverage
39,MALEE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
40,NRF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
41,NSL,AGRO,FOOD,Agro & Food Industry,Food & Beverage
42,OSP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
43,PB,AGRO,FOOD,Agro & Food Industry,Food & Beverage
44,PLUS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
45,PM,AGRO,FOOD,Agro & Food Industry,Food & Beverage
46,PQS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
47,PRG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
48,RBF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
49,SAPPE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
50,SAUCE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
51,SNNP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
52,SNP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
53,SORKON,AGRO,FOOD,Agro & Food Industry,Food & Beverage
54,SSC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
55,SSF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
56,SST,AGRO,FOOD,Agro & Food Industry,Food & Beverage
57,SUN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
58,TC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
59,TFG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
60,TFMAMA,AGRO,FOOD,Agro & Food Industry,Food & Beverage
61,TIPCO,AGRO,FOOD,Agro & Food Industry,Food & Beverage
62,TKN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
63,TU,AGRO,FOOD,Agro & Food Industry,Food & Beverage
64,TVO,AGRO,FOOD,Agro & Food Industry,Food & Beverage
65,TWPC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
66,W,AGRO,FOOD,Agro & Food Industry,Food & Beverage
67,ZEN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
68,AFC,CONSUMP,FASION,Consumer Products,Fashion
69,AURA,CONSUMP,FASION,Consumer Products,Fashion
70,BTNC,CONSUMP,FASION,Consumer Products,Fashion
71,CPH,CONSUMP,FASION,Consumer Products,Fashion
72,CPL,CONSUMP,FASION,Consumer Products,Fashion
73,NC,CONSUMP,FASION,Consumer Products,Fashion
74,PAF,CONSUMP,FASION,Consumer Products,Fashion
75,PDJ,CONSUMP,FASION,Consumer Products,Fashion
76,PG,CONSUMP,FASION,Consumer Products,Fashion
77,SABINA,CONSUMP,FASION,Consumer Products,Fashion
78,SAWANG,CONSUMP,FASION,Consumer Products,Fashion
79,SUC,CONSUMP,FASION,Consumer Products,Fashion
80,TNL,CONSUMP,FASION,Consumer Products,Fashion
81,TR,CONSUMP,FASION,Consumer Products,Fashion
82,TTI,CONSUMP,FASION,Consumer Products,Fashion
83,TTT,CONSUMP,FASION,Consumer Products,Fashion
84,UPF,CONSUMP,FASION,Consumer Products,Fashion
85,WACOAL,CONSUMP,FASION,Consumer Products,Fashion
86,WFX,CONSUMP,FASION,Consumer Products,Fashion
87,AJA,CONSUMP,HOME,Consumer Products,Home & Office Products
88,DTCI,CONSUMP,HOME,Consumer Products,Home & Office Products
89,FANCY,CONSUMP,HOME,Consumer Products,Home & Office Products
90,FTI,CONSUMP,HOME,Consumer Products,Home & Office Products
91,KYE,CONSUMP,HOME,Consumer Products,Home & Office Products
92,L&E,CONSUMP,HOME,Consumer Products,Home & Office Products
93,MODERN,CONSUMP,HOME,Consumer Products,Home & Office Products
94,OGC,CONSUMP,HOME,Consumer Products,Home & Office Products
