,Ticker
0,EE
1,GFPT
2,LEE
3,MAX
4,NER
5,PPPM
6,STA
7,TEGH
8,TFM
9,TRUBB
10,TWPC
11,UPOIC
12,UVAN
13,VPO
0,AAI
1,APURE
2,ASIAN
3,BR
4,BRR
5,BTG
6,CBG
7,CFRESH
8,CH
9,CHOTI
10,CM
11,CPF
12,CPI
13,F&D
14,GLOCON
15,HTC
16,ICHI
17,ITC
18,JDF
19,KBS
20,KSL
21,KTIS
22,LST
23,M
24,MALEE
25,MINT
26,NRF
27,NSL
28,OISHI
29,OSP
30,PB
31,PLUS
32,PM
33,PQS
34,PRG
35,RBF
36,SAPPE
37,SAUCE
38,SFP
39,SNNP
40,SNP
41,SORKON
42,SSC
43,SSF
44,SST
45,SUN
46,TC
47,TFG
48,TFMAMA
49,TIPCO
50,TKN
51,TU
52,TVO
53,W
54,ZEN
0,AFC
1,AURA
2,BTNC
3,CPH
4,CPL
5,NC
6,PAF
7,PDJ
8,PG
9,SABINA
10,SAWANG
11,SUC
12,TNL
13,TR
14,TTI
15,TTT
16,UPF
17,WACOAL
18,WFX
0,AJA
1,DTCI
2,FANCY
3,FTI
4,KYE
5,L&E
6,MODERN
7,OGC
8,ROCK
9,SIAM
10,TCMC
11,TSR
0,APCO
1,BIZ
2,DDD
3,JCT
4,KISS
5,NV
6,OCC
7,S&J
8,STGT
9,STHAI
10,TNR
11,TOG
0,BAY
1,BBL
2,CIMBT
3,KBANK
4,KKP
5,KTB
6,LHFG
7,SCB
8,TCAP
9,TISCO
10,TTB
0,AEONTS
1,AMANAH
2,ASAP
3,ASK
4,ASP
5,BAM
6,BYD
7,CGH
8,CHASE
9,CHAYO
10,ECL
11,FNS
12,FSS
13,GBX
14,GL
15,HENG
16,IFS
17,JMT
18,KCAR
19,KGI
20,KTC
21,MFC
22,MICRO
23,ML
24,MST
25,MTC
26,NCAP
27,PL
28,S11
29,SAK
30,SAWAD
31,SCAP
32,SGC
33,SM
34,TH
35,THANI
36,TIDLOR
37,TK
38,TNITY
39,UOBKH
40,XPG
0,AYUD
1,BKI
2,BLA
3,BUI
4,CHARAN
5,INSURE
6,KWI
7,MTI
8,NKI
9,NSI
10,SMK
11,TGH
12,THRE
13,THREL
14,TIPH
15,TLI
16,TQM
17,TSI
18,TVI
0,3K-BAT
1,ACG
2,AH
3,CWT
4,EASON
5,GYT
6,HFT
7,IHL
8,INGRS
9,IRC
10,PCSGH
11,POLY
12,SAT
13,SPG
14,STANLY
15,TKT
16,TNPC
17,TRU
18,TSC
0,ALLA
1,ASEFA
2,CPT
3,CRANE
4,CTW
5,FMT
6,HTECH
7,KKC
8,PK
9,SNC
10,STARK
11,TCJ
12,TPCS
13,VARO
0,UTP
0,BCT
1,CMAN
2,GC
3,GGC
4,GIFT
5,IVL
6,NFC
7,PATO
8,PMTA
9,PTTGC
10,SUTHA
11,TCCC
12,TPA
13,UAC
14,UP
0,AJ
1,ALUCON
2,BGC
3,CSC
4,NEP
5,PTL
6,SCGP
7,SFLEX
8,SITHAI
9,SLP
10,SMPC
11,SPACK
12,TCOAT
13,TFI
14,THIP
15,TMD
16,TOPP
17,TPAC
18,TPBI
19,TPP
0,2S
1,AMC
2,BSBM
3,CEN
4,CITY
5,CSP
