,Ticker,Industry,Sector,Industry_Fullname,Sector_Fullname
0,EE,AGRO,AGRI,Agro & Food Industry,Agribusiness
1,GFPT,AGRO,AGRI,Agro & Food Industry,Agribusiness
2,LEE,AGRO,AGRI,Agro & Food Industry,Agribusiness
3,MAX,AGRO,AGRI,Agro & Food Industry,Agribusiness
4,NER,AGRO,AGRI,Agro & Food Industry,Agribusiness
5,PPPM,AGRO,AGRI,Agro & Food Industry,Agribusiness
6,STA,AGRO,AGRI,Agro & Food Industry,Agribusiness
7,TEGH,AGRO,AGRI,Agro & Food Industry,Agribusiness
8,TFM,AGRO,AGRI,Agro & Food Industry,Agribusiness
9,TRUBB,AGRO,AGRI,Agro & Food Industry,Agribusiness
10,TWPC,AGRO,AGRI,Agro & Food Industry,Agribusiness
11,UPOIC,AGRO,AGRI,Agro & Food Industry,Agribusiness
12,UVAN,AGRO,AGRI,Agro & Food Industry,Agribusiness
13,VPO,AGRO,AGRI,Agro & Food Industry,Agribusiness
0,AAI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
1,APURE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
2,ASIAN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
3,BR,AGRO,FOOD,Agro & Food Industry,Food & Beverage
4,BRR,AGRO,FOOD,Agro & Food Industry,Food & Beverage
5,BTG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
6,CBG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
7,CFRESH,AGRO,FOOD,Agro & Food Industry,Food & Beverage
8,CH,AGRO,FOOD,Agro & Food Industry,Food & Beverage
9,CHOTI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
10,CM,AGRO,FOOD,Agro & Food Industry,Food & Beverage
11,CPF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
12,CPI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
13,F&D,AGRO,FOOD,Agro & Food Industry,Food & Beverage
14,GLOCON,AGRO,FOOD,Agro & Food Industry,Food & Beverage
15,HTC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
16,ICHI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
17,ITC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
18,JDF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
19,KBS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
20,KSL,AGRO,FOOD,Agro & Food Industry,Food & Beverage
21,KTIS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
22,LST,AGRO,FOOD,Agro & Food Industry,Food & Beverage
23,M,AGRO,FOOD,Agro & Food Industry,Food & Beverage
24,MALEE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
25,MINT,AGRO,FOOD,Agro & Food Industry,Food & Beverage
26,NRF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
27,NSL,AGRO,FOOD,Agro & Food Industry,Food & Beverage
28,OISHI,AGRO,FOOD,Agro & Food Industry,Food & Beverage
29,OSP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
30,PB,AGRO,FOOD,Agro & Food Industry,Food & Beverage
31,PLUS,AGRO,FOOD,Agro & Food Industry,Food & Beverage
32,PM,AGRO,FOOD,Agro & Food Industry,Food & Beverage
33,PRG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
34,RBF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
35,SAPPE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
36,SAUCE,AGRO,FOOD,Agro & Food Industry,Food & Beverage
37,SFP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
38,SNNP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
39,SNP,AGRO,FOOD,Agro & Food Industry,Food & Beverage
40,SORKON,AGRO,FOOD,Agro & Food Industry,Food & Beverage
41,SSC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
42,SSF,AGRO,FOOD,Agro & Food Industry,Food & Beverage
43,SST,AGRO,FOOD,Agro & Food Industry,Food & Beverage
44,SUN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
45,TC,AGRO,FOOD,Agro & Food Industry,Food & Beverage
46,TFG,AGRO,FOOD,Agro & Food Industry,Food & Beverage
47,TFMAMA,AGRO,FOOD,Agro & Food Industry,Food & Beverage
48,TIPCO,AGRO,FOOD,Agro & Food Industry,Food & Beverage
49,TKN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
50,TU,AGRO,FOOD,Agro & Food Industry,Food & Beverage
51,TVO,AGRO,FOOD,Agro & Food Industry,Food & Beverage
52,W,AGRO,FOOD,Agro & Food Industry,Food & Beverage
53,ZEN,AGRO,FOOD,Agro & Food Industry,Food & Beverage
0,AFC,CONSUMP,FASHION,Consumer Products,Fashion
1,AURA,CONSUMP,FASHION,Consumer Products,Fashion
2,BTNC,CONSUMP,FASHION,Consumer Products,Fashion
3,CPH,CONSUMP,FASHION,Consumer Products,Fashion
4,CPL,CONSUMP,FASHION,Consumer Products,Fashion
5,NC,CONSUMP,FASHION,Consumer Products,Fashion
6,PAF,CONSUMP,FASHION,Consumer Products,Fashion
7,PDJ,CONSUMP,FASHION,Consumer Products,Fashion
8,PG,CONSUMP,FASHION,Consumer Products,Fashion
9,SABINA,CONSUMP,FASHION,Consumer Products,Fashion
10,SAWANG,CONSUMP,FASHION,Consumer Products,Fashion
11,SUC,CONSUMP,FASHION,Consumer Products,Fashion
12,TNL,CONSUMP,FASHION,Consumer Products,Fashion
13,TR,CONSUMP,FASHION,Consumer Products,Fashion
14,TTI,CONSUMP,FASHION,Consumer Products,Fashion
15,TTT,CONSUMP,FASHION,Consumer Products,Fashion
16,UPF,CONSUMP,FASHION,Consumer Products,Fashion
17,WACOAL,CONSUMP,FASHION,Consumer Products,Fashion
18,WFX,CONSUMP,FASHION,Consumer Products,Fashion
0,AJA,CONSUMP,HOME,Consumer Products,Home & Office Products
1,DTCI,CONSUMP,HOME,Consumer Products,Home & Office Products
2,FANCY,CONSUMP,HOME,Consumer Products,Home & Office Products
3,FTI,CONSUMP,HOME,Consumer Products,Home & Office Products
4,KYE,CONSUMP,HOME,Consumer Products,Home & Office Products
5,L&E,CONSUMP,HOME,Consumer Products,Home & Office Products
6,MODERN,CONSUMP,HOME,Consumer Products,Home & Office Products
