,Ticker
0,7UP
1,AGE
2,AH
3,AI
4,AIE
5,AIT
6,AJ
7,AMANAH
8,ANAN
9,APCS
10,APURE
11,AQUA
12,AS
13,ASIAN
14,ASP
15,ASW
16,BBGI
17,BEAUTY
18,BEYOND
19,BGC
20,BRI
21,BRR
22,BWG
23,CCET
24,CGD
25,CHAYO
26,DDD
27,DEMCO
28,DMT
29,DRT
30,EASTW
31,EKH
32,EP
33,ETC
34,GJS
35,HENG
36,HFT
37,HTC
38,HUMAN
39,ICHI
40,III
41,ILINK
42,ILM
43,ITD
44,ITEL
45,J
46,JR
47,KAMART
48,KGI
49,KISS
50,KSL
51,LALIN
52,LANNA
53,LOXLEY
54,LPH
55,LPN
56,LST
57,MACO
58,MAJOR
59,MC
60,MCS
61,MFEC
62,MICRO
63,MILL
64,MSC
65,NCAP
66,NER
67,NOBLE
68,NRF
69,NSL
70,NTV
71,NUSA
72,NVD
73,NYT
74,PF
75,PLAT
76,PLUS
77,PM
78,PR9
79,PRIME
80,PRM
81,PYLON
82,RABBIT
83,RJH
84,RML
85,ROJNA
86,RPH
87,RS
88,S
89,S11
90,SABINA
91,SAK
92,SAMART
93,SAPPE
94,SAT
95,SC
96,SCM
97,SENA
98,SHR
99,SIS
100,SITHAI
101,SKN
102,SKY
103,SMPC
104,SMT
105,SNC
106,SO
107,SPCG
108,SRICHA
109,SSP
110,STANLY
111,STPI
112,SUN
113,SUSCO
114,SYNEX
115,TC
116,TFM
117,THCOM
118,THIP
119,THRE
120,TIPCO
121,TK
122,TKC
123,TKN
124,TKS
125,TMT
126,TOG
127,TSE
128,TSTH
129,TTA
130,TVI
131,TWPC
132,UAC
133,UBE
134,UTP
135,UV
136,UVAN
137,VIH
138,VNG
139,WHAUP
140,WICE
141,WORK
142,XPG
143,ZEN
