,Sector,Industry,Ticker
0,AGRO,AGRI,EE
1,AGRO,AGRI,GFPT
2,AGRO,AGRI,LEE
3,AGRO,AGRI,MAX
4,AGRO,AGRI,NER
5,AGRO,AGRI,PPPM
6,AGRO,AGRI,STA
7,AGRO,AGRI,TEGH
8,AGRO,AGRI,TFM
9,AGRO,AGRI,TRUBB
10,AGRO,AGRI,UPOIC
11,AGRO,AGRI,UVAN
12,AGRO,AGRI,VPO
13,AGRO,FOOD,AAI
14,AGRO,FOOD,APURE
15,AGRO,FOOD,ASIAN
16,AGRO,FOOD,BR
17,AGRO,FOOD,BRR
18,AGRO,FOOD,BTG
19,AGRO,FOOD,CBG
20,AGRO,FOOD,CFRESH
21,AGRO,FOOD,CH
22,AGRO,FOOD,CHOTI
23,AGRO,FOOD,CM
24,AGRO,FOOD,COCOCO
25,AGRO,FOOD,CPF
26,AGRO,FOOD,CPI
27,AGRO,FOOD,F&D
28,AGRO,FOOD,GLOCON
29,AGRO,FOOD,HTC
30,AGRO,FOOD,ICHI
31,AGRO,FOOD,ITC
32,AGRO,FOOD,JDF
33,AGRO,FOOD,KBS
34,AGRO,FOOD,KCG
35,AGRO,FOOD,KSL
36,AGRO,FOOD,KTIS
37,AGRO,FOOD,LST
38,AGRO,FOOD,M
39,AGRO,FOOD,MALEE
40,AGRO,FOOD,NRF
41,AGRO,FOOD,NSL
42,AGRO,FOOD,OSP
43,AGRO,FOOD,PB
44,AGRO,FOOD,PLUS
45,AGRO,FOOD,PM
46,AGRO,FOOD,PQS
47,AGRO,FOOD,PRG
48,AGRO,FOOD,RBF
49,AGRO,FOOD,SAPPE
50,AGRO,FOOD,SAUCE
51,AGRO,FOOD,SNNP
52,AGRO,FOOD,SNP
53,AGRO,FOOD,SORKON
54,AGRO,FOOD,SSC
55,AGRO,FOOD,SSF
56,AGRO,FOOD,SST
57,AGRO,FOOD,SUN
58,AGRO,FOOD,TC
59,AGRO,FOOD,TFG
60,AGRO,FOOD,TFMAMA
61,AGRO,FOOD,TIPCO
62,AGRO,FOOD,TKN
63,AGRO,FOOD,TU
64,AGRO,FOOD,TVO
65,AGRO,FOOD,TWPC
66,AGRO,FOOD,W
67,AGRO,FOOD,ZEN
68,CONSUMP,FASION,AFC
69,CONSUMP,FASION,AURA
70,CONSUMP,FASION,BTNC
71,CONSUMP,FASION,CPH
72,CONSUMP,FASION,CPL
73,CONSUMP,FASION,NC
74,CONSUMP,FASION,PAF
75,CONSUMP,FASION,PDJ
76,CONSUMP,FASION,PG
77,CONSUMP,FASION,SABINA
78,CONSUMP,FASION,SAWANG
79,CONSUMP,FASION,SUC
80,CONSUMP,FASION,TNL
81,CONSUMP,FASION,TR
82,CONSUMP,FASION,TTI
83,CONSUMP,FASION,TTT
84,CONSUMP,FASION,UPF
85,CONSUMP,FASION,WACOAL
86,CONSUMP,FASION,WFX
87,CONSUMP,HOME,AJA
88,CONSUMP,HOME,DTCI
89,CONSUMP,HOME,FANCY
